period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2019-03-31,2019-06-09,2019-06-10,2019-12-06,126,40,0.1478424015009381,0.008986291586072587,0.004986291586072587,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-09-16,5,40,0.342323749145298,0.007397243859370017,0.0033972438593700173,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-10-08,21,40,-0.13001876172607885,-0.0008088819276508424,-0.0048088819276508425,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2019-12-06,63,40,-0.16960600375234522,-0.00593665140460603,-0.00993665140460603,specialist_reversal
2019-06-30,2019-09-08,2019-09-09,2020-03-10,126,40,-0.3050656660412759,-0.04091038880997459,-0.0449103888099746,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2019-12-17,5,40,0.16941838649155724,0.007289024930205529,0.0032890249302055287,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-01-10,21,40,0.1887429643527205,0.014625972338730253,0.010625972338730253,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-03-12,63,40,-0.05909943714821765,0.0012847788290686335,-0.0027152211709313666,specialist_reversal
2019-09-30,2019-12-09,2019-12-10,2020-06-11,126,40,-0.020075046904315202,0.029310596988999266,0.025310596988999266,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-03-18,5,40,0.035084427767354605,0.022777173812154106,0.018777173812154106,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-04-09,21,40,-0.07992495309568483,0.013729808444676375,0.009729808444676375,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-06-10,63,40,0.001876172607879925,-0.01309689109111642,-0.01709689109111642,specialist_reversal
2019-12-31,2020-03-10,2020-03-11,2020-09-09,126,40,-0.06829268292682927,-0.026849483266065483,-0.030849483266065483,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-06-17,5,40,-0.37936210131332093,-0.007940541241187912,-0.011940541241187912,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-07-10,21,40,-0.15347091932457788,-0.008129403356123013,-0.012129403356123013,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-09-09,63,40,0.04840525328330207,0.01568553344666697,0.011685533446666969,specialist_reversal
2020-03-31,2020-06-09,2020-06-10,2020-12-08,126,40,0.10487804878048781,0.016529044160695366,0.012529044160695366,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-09-16,5,40,-0.05553470919324579,-0.005906780335966588,-0.009906780335966588,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-10-08,21,40,0.04859287054409006,0.01029751403985081,0.006297514039850811,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2020-12-08,63,40,0.030581613508442785,0.006465080481911106,0.002465080481911106,specialist_reversal
2020-06-30,2020-09-08,2020-09-09,2021-03-11,126,40,-0.03696060037523453,-0.021978967140195205,-0.025978967140195205,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2020-12-17,5,40,-0.09549718574108819,-0.0022229567963866492,-0.006222956796386649,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-01-12,21,40,-0.17354596622889307,-0.013146320914873832,-0.017146320914873833,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-03-15,63,40,-0.1604127579737336,-0.03458600760265709,-0.038586007602657096,specialist_reversal
2020-09-30,2020-12-09,2020-12-10,2021-06-14,126,40,-0.13602251407129456,-0.027181072303673337,-0.031181072303673337,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-03-19,5,40,0.11575984990619138,0.010818237696307784,0.0068182376963077836,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-04-13,21,40,-0.20037523452157602,0.010132721478619586,0.006132721478619586,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-06-11,63,40,-0.1782363977485929,0.0026245446531915906,-0.0013754553468084095,specialist_reversal
2020-12-31,2021-03-11,2021-03-12,2021-09-10,126,40,-0.1607879924953096,0.01842832542744567,0.014428325427445671,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-06-17,5,40,-0.01707317073170732,0.005048220880131224,0.0010482208801312239,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-07-12,21,40,-0.14315196998123828,0.0021556078836525716,-0.0018443921163474285,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-09-09,63,40,-0.09606003752345216,0.004635791412644724,0.0006357914126447241,specialist_reversal
2021-03-31,2021-06-09,2021-06-10,2021-12-08,126,40,-0.04859287054409006,0.01423821943960002,0.01023821943960002,specialist_reversal
2021-06-30,2021-09-08,2021-09-09,2021-09-16,5,40,-0.2088180112570357,-0.0010267855141271043,-0.005026785514127104,specialist_reversal
2021-06-30,2021-09-08,2021-09-09,2021-10-08,21,40,-0.1924953095684803,-0.002494060451134164,-0.006494060451134164,specialist_reversal
2021-06-30,2021-09-08,2021-09-09,2021-12-08,63,40,-0.16604127579737338,-0.006176065775638048,-0.010176065775638048,specialist_reversal
2021-06-30,2021-09-08,2021-09-09,2022-03-10,126,40,-0.2232645403377111,-0.03297945334829362,-0.036979453348293626,specialist_reversal
2021-09-30,2021-12-09,2021-12-10,2021-12-17,5,41,0.11306620209059236,0.00520034743147689,0.0012003474314768899,specialist_reversal
2021-09-30,2021-12-09,2021-12-10,2022-01-11,21,41,0.08501742160278748,0.029579654310770143,0.025579654310770143,specialist_reversal
2021-09-30,2021-12-09,2021-12-10,2022-03-14,63,41,0.20400696864111503,0.10513221402294441,0.10113221402294441,specialist_reversal
2021-09-30,2021-12-09,2021-12-10,2022-06-13,126,41,0.22735191637630667,0.15524502182901928,0.15124502182901928,specialist_reversal
2021-12-31,2022-03-11,2022-03-14,2022-03-21,5,41,0.0407665505226481,0.00566839623055157,0.00166839623055157,specialist_reversal
2021-12-31,2022-03-11,2022-03-14,2022-04-12,21,41,-0.09268292682926832,-0.004676748947702952,-0.008676748947702952,specialist_reversal
2021-12-31,2022-03-11,2022-03-14,2022-06-13,63,41,-0.019512195121951223,0.006317178716606031,0.002317178716606031,specialist_reversal
2021-12-31,2022-03-11,2022-03-14,2022-09-13,126,41,-0.22456445993031363,-0.039923857489616923,-0.04392385748961693,specialist_reversal
2022-03-31,2022-06-09,2022-06-10,2022-06-17,5,41,-0.16515679442508716,-0.011635369365619944,-0.015635369365619944,specialist_reversal
2022-03-31,2022-06-09,2022-06-10,2022-07-13,21,41,0.23292682926829275,-0.002776557689420034,-0.006776557689420034,specialist_reversal
2022-03-31,2022-06-09,2022-06-10,2022-09-12,63,41,0.16080139372822302,0.018530521712703155,0.014530521712703155,specialist_reversal
2022-03-31,2022-06-09,2022-06-10,2022-12-09,126,41,-0.009930313588850177,0.010040290443550204,0.006040290443550204,specialist_reversal
2022-06-30,2022-09-08,2022-09-09,2022-09-16,5,41,0.039721254355400706,0.004845478609899034,0.0008454786098990343,specialist_reversal
2022-06-30,2022-09-08,2022-09-09,2022-10-10,21,41,0.09059233449477352,0.006732360692033992,0.0027323606920339923,specialist_reversal
2022-06-30,2022-09-08,2022-09-09,2022-12-08,63,41,-0.05069686411149827,-0.015321215635430693,-0.019321215635430693,specialist_reversal
2022-06-30,2022-09-08,2022-09-09,2023-03-13,126,41,-0.18118466898954705,-0.05345459382107959,-0.05745459382107959,specialist_reversal
2022-09-30,2022-12-09,2022-12-12,2022-12-19,5,41,-0.04041811846689897,-0.0031324600299562633,-0.007132460029956263,specialist_reversal
2022-09-30,2022-12-09,2022-12-12,2023-01-12,21,41,-0.1736933797909408,-0.012139844732317454,-0.016139844732317454,specialist_reversal
2022-09-30,2022-12-09,2022-12-12,2023-03-15,63,41,-0.20226480836236937,-0.026299742740219012,-0.030299742740219012,specialist_reversal
2022-09-30,2022-12-09,2022-12-12,2023-06-14,126,41,-0.1642857142857143,-0.04265785475551259,-0.046657854755512596,specialist_reversal
2022-12-31,2023-03-11,2023-03-13,2023-03-20,5,41,0.01358885017421603,-0.009549396987334799,-0.013549396987334799,specialist_reversal
2022-12-31,2023-03-11,2023-03-13,2023-04-12,21,41,-0.014111498257839724,-0.003976708934402218,-0.007976708934402218,specialist_reversal
2022-12-31,2023-03-11,2023-03-13,2023-06-12,63,41,0.03275261324041812,-0.022845855867437787,-0.026845855867437787,specialist_reversal
2022-12-31,2023-03-11,2023-03-13,2023-09-12,126,41,-0.1885017421602788,-0.04532770003330755,-0.04932770003330755,specialist_reversal
2023-03-31,2023-06-09,2023-06-12,2023-06-20,5,41,-0.005400696864111499,0.002780036237168673,-0.0012199637628313269,specialist_reversal
2023-03-31,2023-06-09,2023-06-12,2023-07-13,21,41,0.0888501742160279,-0.000891367613321925,-0.004891367613321925,specialist_reversal
2023-03-31,2023-06-09,2023-06-12,2023-09-12,63,41,0.09006968641114985,-0.01036122531336306,-0.01436122531336306,specialist_reversal
2023-03-31,2023-06-09,2023-06-12,2023-12-11,126,41,0.1888501742160279,0.025525039904217686,0.021525039904217686,specialist_reversal
2023-06-30,2023-09-08,2023-09-11,2023-09-18,5,41,0.2315331010452962,0.0025972033526501515,-0.0014027966473498486,specialist_reversal
2023-06-30,2023-09-08,2023-09-11,2023-10-10,21,41,0.1010452961672474,0.002417138510870831,-0.001582861489129169,specialist_reversal
2023-06-30,2023-09-08,2023-09-11,2023-12-08,63,41,-0.17526132404181188,-0.013556233814238913,-0.017556233814238913,specialist_reversal
2023-06-30,2023-09-08,2023-09-11,2024-03-12,126,41,-0.32560975609756104,-0.04068300663443199,-0.04468300663443199,specialist_reversal
2023-09-30,2023-12-09,2023-12-11,2023-12-18,5,41,-0.14233449477351917,-0.008121137770057962,-0.012121137770057962,specialist_reversal
2023-09-30,2023-12-09,2023-12-11,2024-01-11,21,41,0.01637630662020906,-0.002979012266141015,-0.006979012266141015,specialist_reversal
2023-09-30,2023-12-09,2023-12-11,2024-03-13,63,41,-0.051742160278745654,-0.007953852104045006,-0.011953852104045006,specialist_reversal
2023-09-30,2023-12-09,2023-12-11,2024-06-12,126,41,-0.06184668989547039,0.008615061631361026,0.004615061631361026,specialist_reversal
2023-12-31,2024-03-10,2024-03-11,2024-03-18,5,41,-0.1355400696864112,-0.0030889070183957312,-0.007088907018395731,specialist_reversal
2023-12-31,2024-03-10,2024-03-11,2024-04-10,21,41,-0.229616724738676,-0.010628835295770647,-0.014628835295770647,specialist_reversal
2023-12-31,2024-03-10,2024-03-11,2024-06-10,63,41,0.1574912891986063,0.006726265150386532,0.0027262651503865316,specialist_reversal
2023-12-31,2024-03-10,2024-03-11,2024-09-10,126,41,0.11184668989547039,-0.0024557048724675734,-0.0064557048724675735,specialist_reversal
2024-03-31,2024-06-09,2024-06-10,2024-06-17,5,41,-0.07334494773519165,0.0013522809841473582,-0.002647719015852642,specialist_reversal
2024-03-31,2024-06-09,2024-06-10,2024-07-11,21,41,0.033972125435540075,0.00935955191416471,0.00535955191416471,specialist_reversal
2024-03-31,2024-06-09,2024-06-10,2024-09-10,63,41,-0.018989547038327528,-0.003692811744435906,-0.007692811744435906,specialist_reversal
2024-03-31,2024-06-09,2024-06-10,2024-12-09,126,41,0.03379790940766551,0.051371109464623865,0.04737110946462386,specialist_reversal
2024-06-30,2024-09-08,2024-09-09,2024-09-16,5,41,0.11463414634146342,0.0073652719025041335,0.0033652719025041335,specialist_reversal
2024-06-30,2024-09-08,2024-09-09,2024-10-08,21,41,0.16411149825783974,0.01211336298834323,0.00811336298834323,specialist_reversal
2024-06-30,2024-09-08,2024-09-09,2024-12-06,63,41,0.15818815331010458,0.016349808407732758,0.012349808407732758,specialist_reversal
2024-06-30,2024-09-08,2024-09-09,2025-03-12,126,41,-0.052961672473867606,0.0009081703101562755,-0.0030918296898437246,specialist_reversal
2024-09-30,2024-12-09,2024-12-10,2024-12-17,5,41,0.14425087108013943,0.012660787176054428,0.008660787176054428,specialist_reversal
2024-09-30,2024-12-09,2024-12-10,2025-01-13,21,41,0.03641114982578398,0.007430035988229958,0.0034300359882299576,specialist_reversal
2024-09-30,2024-12-09,2024-12-10,2025-03-14,63,41,-0.15470383275261326,0.001079627732547342,-0.002920372267452658,specialist_reversal
2024-09-30,2024-12-09,2024-12-10,2025-06-13,126,41,-0.052439024390243914,0.017248405605076095,0.013248405605076095,specialist_reversal
2024-12-31,2025-03-11,2025-03-12,2025-03-19,5,41,0.2517421602787457,0.009261084769839986,0.005261084769839986,specialist_reversal
2024-12-31,2025-03-11,2025-03-12,2025-04-10,21,41,-0.24756097560975612,-0.008200391193427303,-0.012200391193427303,specialist_reversal
2024-12-31,2025-03-11,2025-03-12,2025-06-11,63,41,0.14512195121951224,0.006477673411136989,0.0024776734111369887,specialist_reversal
2024-12-31,2025-03-11,2025-03-12,2025-09-11,126,41,0.10435540069686414,0.008602826923196916,0.004602826923196916,specialist_reversal
2025-03-31,2025-06-09,2025-06-10,2025-06-17,5,41,-0.1785714285714286,-0.009946518402721607,-0.013946518402721608,specialist_reversal
2025-03-31,2025-06-09,2025-06-10,2025-07-11,21,41,0.001045296167247387,-0.0024492673540310317,-0.006449267354031032,specialist_reversal
2025-03-31,2025-06-09,2025-06-10,2025-09-10,63,41,-0.2874564459930314,-0.024211731849722445,-0.028211731849722445,specialist_reversal
2025-03-31,2025-06-09,2025-06-10,2025-12-09,126,41,-0.2658536585365854,-0.04057979102898414,-0.04457979102898414,specialist_reversal
2025-06-30,2025-09-08,2025-09-09,2025-09-16,5,41,0.1339721254355401,0.003338456803782211,-0.0006615431962177891,specialist_reversal
2025-06-30,2025-09-08,2025-09-09,2025-10-08,21,41,0.1693379790940767,0.007861082918191861,0.003861082918191861,specialist_reversal
2025-06-30,2025-09-08,2025-09-09,2025-12-08,63,41,0.06881533101045298,0.000988531174742735,-0.003011468825257265,specialist_reversal
