period_end,available_date,entry_date,exit_date,horizon,n_names,ic,spread_gross,spread_net,signal_name
2020-06-30,2020-09-08,2020-09-09,2021-03-11,126,40,0.21144465290806758,-0.01687321462824501,-0.02087321462824501,run_prone_reversal
2020-09-30,2020-12-09,2020-12-10,2020-12-17,5,40,0.04165103189493434,-0.00558978657892073,-0.00958978657892073,run_prone_reversal
2020-09-30,2020-12-09,2020-12-10,2021-01-12,21,40,-0.2660412757973734,-0.0020192940807425702,-0.00601929408074257,run_prone_reversal
2020-09-30,2020-12-09,2020-12-10,2021-03-15,63,40,-0.15741088180112572,0.0342183937080211,0.0302183937080211,run_prone_reversal
2020-09-30,2020-12-09,2020-12-10,2021-06-14,126,40,-0.020262664165103195,0.03430459856273321,0.030304598562733213,run_prone_reversal
2020-12-31,2021-03-11,2021-03-12,2021-03-19,5,40,-0.08442776735459663,0.007662458934940358,0.003662458934940358,run_prone_reversal
2020-12-31,2021-03-11,2021-03-12,2021-04-13,21,40,0.021763602251407135,0.014048952662915296,0.010048952662915295,run_prone_reversal
2020-12-31,2021-03-11,2021-03-12,2021-06-11,63,40,-0.10225140712945593,-0.003127205333755073,-0.007127205333755073,run_prone_reversal
2020-12-31,2021-03-11,2021-03-12,2021-09-10,126,40,0.012570356472795498,0.01993689803318692,0.01593689803318692,run_prone_reversal
2021-03-31,2021-06-09,2021-06-10,2021-06-17,5,40,-0.09568480300187618,-0.003721085075466271,-0.007721085075466271,run_prone_reversal
2021-03-31,2021-06-09,2021-06-10,2021-07-12,21,40,-0.22870544090056288,-0.016039815255818685,-0.020039815255818685,run_prone_reversal
2021-03-31,2021-06-09,2021-06-10,2021-09-09,63,40,-0.15046904315197,-0.02853113813947805,-0.032531138139478055,run_prone_reversal
2021-03-31,2021-06-09,2021-06-10,2021-12-08,126,40,-0.07729831144465292,-0.020285006832722455,-0.024285006832722455,run_prone_reversal
2021-06-30,2021-09-08,2021-09-09,2021-09-16,5,40,-0.1532833020637899,-0.0076389789499009125,-0.011638978949900913,run_prone_reversal
2021-06-30,2021-09-08,2021-09-09,2021-10-08,21,40,-0.07429643527204503,-0.023229722678096074,-0.027229722678096074,run_prone_reversal
2021-06-30,2021-09-08,2021-09-09,2021-12-08,63,40,-0.03677298311444653,-0.026138519643124455,-0.030138519643124455,run_prone_reversal
2021-06-30,2021-09-08,2021-09-09,2022-03-10,126,40,-0.10469043151969983,-0.10004747751671302,-0.10404747751671302,run_prone_reversal
2021-09-30,2021-12-09,2021-12-10,2021-12-17,5,41,-0.09686411149825785,-0.0067515936041745855,-0.010751593604174586,run_prone_reversal
2021-09-30,2021-12-09,2021-12-10,2022-01-11,21,41,0.009407665505226483,0.025515186393309755,0.021515186393309755,run_prone_reversal
2021-09-30,2021-12-09,2021-12-10,2022-03-14,63,41,0.14895470383275264,0.07758011861107032,0.07358011861107032,run_prone_reversal
2021-09-30,2021-12-09,2021-12-10,2022-06-13,126,41,0.06724738675958189,0.1029901577346685,0.0989901577346685,run_prone_reversal
2021-12-31,2022-03-11,2022-03-14,2022-03-21,5,41,-0.26428571428571435,-0.011994222158032891,-0.01599422215803289,run_prone_reversal
2021-12-31,2022-03-11,2022-03-14,2022-04-12,21,41,0.21620209059233453,0.01159570259458756,0.007595702594587559,run_prone_reversal
2021-12-31,2022-03-11,2022-03-14,2022-06-13,63,41,0.12630662020905925,0.03365196770402064,0.029651967704020638,run_prone_reversal
2021-12-31,2022-03-11,2022-03-14,2022-09-13,126,41,0.2918118466898955,0.042892296577630176,0.03889229657763017,run_prone_reversal
2022-03-31,2022-06-09,2022-06-10,2022-06-17,5,41,-0.04494773519163764,0.002062459494972982,-0.0019375405050270182,run_prone_reversal
2022-03-31,2022-06-09,2022-06-10,2022-07-13,21,41,-0.27822299651567955,-0.017511806671578062,-0.021511806671578062,run_prone_reversal
2022-03-31,2022-06-09,2022-06-10,2022-09-12,63,41,-0.12404181184668991,-0.01850654276170023,-0.02250654276170023,run_prone_reversal
2022-03-31,2022-06-09,2022-06-10,2022-12-09,126,41,-0.2585365853658537,-0.04245217499142752,-0.04645217499142752,run_prone_reversal
2022-06-30,2022-09-08,2022-09-09,2022-09-16,5,41,-0.31306620209059244,-0.010070119466124183,-0.014070119466124183,run_prone_reversal
2022-06-30,2022-09-08,2022-09-09,2022-10-10,21,41,-0.13693379790940768,-0.0035772502571175674,-0.0075772502571175675,run_prone_reversal
2022-06-30,2022-09-08,2022-09-09,2022-12-08,63,41,0.039547038327526145,-0.013159830336334055,-0.017159830336334055,run_prone_reversal
2022-06-30,2022-09-08,2022-09-09,2023-03-13,126,41,0.011149825783972129,-0.013874169226190364,-0.017874169226190364,run_prone_reversal
2022-09-30,2022-12-09,2022-12-12,2022-12-19,5,41,-0.1693379790940767,-0.00797546253978075,-0.01197546253978075,run_prone_reversal
2022-09-30,2022-12-09,2022-12-12,2023-01-12,21,41,-0.07717770034843208,-0.014965197686793705,-0.018965197686793705,run_prone_reversal
2022-09-30,2022-12-09,2022-12-12,2023-03-15,63,41,-0.2677700348432056,-0.029187107910982946,-0.03318710791098295,run_prone_reversal
2022-09-30,2022-12-09,2022-12-12,2023-06-14,126,41,-0.2315331010452962,-0.05954508760715303,-0.06354508760715304,run_prone_reversal
2022-12-31,2023-03-11,2023-03-13,2023-03-20,5,41,0.24285714285714288,0.006708199703820347,0.002708199703820347,run_prone_reversal
2022-12-31,2023-03-11,2023-03-13,2023-04-12,21,41,0.10679442508710804,0.009947221796759609,0.005947221796759609,run_prone_reversal
2022-12-31,2023-03-11,2023-03-13,2023-06-12,63,41,0.30766550522648095,0.021069035012827253,0.017069035012827253,run_prone_reversal
2022-12-31,2023-03-11,2023-03-13,2023-09-12,126,41,0.1104529616724739,0.01492431280715123,0.01092431280715123,run_prone_reversal
2023-03-31,2023-06-09,2023-06-12,2023-06-20,5,41,-0.04634146341463416,-0.003256586284312718,-0.007256586284312718,run_prone_reversal
2023-03-31,2023-06-09,2023-06-12,2023-07-13,21,41,0.03554006968641116,0.004112240529346681,0.00011224052934668063,run_prone_reversal
2023-03-31,2023-06-09,2023-06-12,2023-09-12,63,41,0.07630662020905925,-0.00022398021166585014,-0.00422398021166585,run_prone_reversal
2023-03-31,2023-06-09,2023-06-12,2023-12-11,126,41,0.052961672473867606,-0.0059705184729185595,-0.00997051847291856,run_prone_reversal
2023-06-30,2023-09-08,2023-09-11,2023-09-18,5,41,0.12351916376306624,0.004287679667134739,0.00028767966713473883,run_prone_reversal
2023-06-30,2023-09-08,2023-09-11,2023-10-10,21,41,0.14128919860627182,-0.00011940096067206141,-0.0041194009606720615,run_prone_reversal
2023-06-30,2023-09-08,2023-09-11,2023-12-08,63,41,-0.236411149825784,-0.019473443828302878,-0.023473443828302878,run_prone_reversal
2023-06-30,2023-09-08,2023-09-11,2024-03-12,126,41,-0.21306620209059238,-0.028694121872677794,-0.0326941218726778,run_prone_reversal
2023-09-30,2023-12-09,2023-12-11,2023-12-18,5,41,-0.10487804878048783,-0.004567842276033712,-0.008567842276033712,run_prone_reversal
2023-09-30,2023-12-09,2023-12-11,2024-01-11,21,41,0.17491289198606275,0.0027984717073626098,-0.0012015282926373903,run_prone_reversal
2023-09-30,2023-12-09,2023-12-11,2024-03-13,63,41,0.12229965156794427,0.005832739283186561,0.001832739283186561,run_prone_reversal
2023-09-30,2023-12-09,2023-12-11,2024-06-12,126,41,0.10209059233449479,0.010803732416291317,0.006803732416291317,run_prone_reversal
2023-12-31,2024-03-10,2024-03-11,2024-03-18,5,41,0.07822299651567946,0.005975074295625327,0.0019750742956253266,run_prone_reversal
2023-12-31,2024-03-10,2024-03-11,2024-04-10,21,41,0.2066202090592335,0.020846994238081187,0.016846994238081187,run_prone_reversal
2023-12-31,2024-03-10,2024-03-11,2024-06-10,63,41,0.03031358885017422,0.011195534104915597,0.007195534104915597,run_prone_reversal
2023-12-31,2024-03-10,2024-03-11,2024-09-10,126,41,-0.05069686411149827,0.007349941747236785,0.003349941747236785,run_prone_reversal
2024-03-31,2024-06-09,2024-06-10,2024-06-17,5,41,-0.13449477351916378,-0.0036512247218275506,-0.007651224721827551,run_prone_reversal
2024-03-31,2024-06-09,2024-06-10,2024-07-11,21,41,-0.09756097560975611,0.0031400799904417187,-0.0008599200095582814,run_prone_reversal
2024-03-31,2024-06-09,2024-06-10,2024-09-10,63,41,0.0986062717770035,0.01297612591527987,0.00897612591527987,run_prone_reversal
2024-03-31,2024-06-09,2024-06-10,2024-12-09,126,41,0.0033101045296167254,0.03269735570580101,0.028697355705801012,run_prone_reversal
2024-06-30,2024-09-08,2024-09-09,2024-09-16,5,41,-0.15818815331010458,-0.006341431625719068,-0.010341431625719068,run_prone_reversal
2024-06-30,2024-09-08,2024-09-09,2024-10-08,21,41,0.030487804878048783,-0.004761683609879941,-0.008761683609879941,run_prone_reversal
2024-06-30,2024-09-08,2024-09-09,2024-12-06,63,41,0.01637630662020906,-0.014162696962947183,-0.018162696962947183,run_prone_reversal
2024-06-30,2024-09-08,2024-09-09,2025-03-12,126,41,0.1015679442508711,0.01378383459843617,0.00978383459843617,run_prone_reversal
2024-09-30,2024-12-09,2024-12-10,2024-12-17,5,41,0.1649825783972126,-0.00027064652157565705,-0.004270646521575657,run_prone_reversal
2024-09-30,2024-12-09,2024-12-10,2025-01-13,21,41,-0.23728222996515685,-0.008575344446621336,-0.012575344446621336,run_prone_reversal
2024-09-30,2024-12-09,2024-12-10,2025-03-14,63,41,0.2458188153310105,0.04994609570535184,0.04594609570535184,run_prone_reversal
2024-09-30,2024-12-09,2024-12-10,2025-06-13,126,41,0.3635888501742161,0.07644942725459862,0.07244942725459862,run_prone_reversal
2024-12-31,2025-03-11,2025-03-12,2025-03-19,5,41,0.0378048780487805,-0.002188775873196089,-0.006188775873196089,run_prone_reversal
2024-12-31,2025-03-11,2025-03-12,2025-04-10,21,41,-0.19529616724738683,0.0025487346631521413,-0.0014512653368478588,run_prone_reversal
2024-12-31,2025-03-11,2025-03-12,2025-06-11,63,41,-0.1574912891986063,-0.030995082578101005,-0.03499508257810101,run_prone_reversal
2024-12-31,2025-03-11,2025-03-12,2025-09-11,126,41,-0.07648083623693382,-0.041062623937431666,-0.04506262393743167,run_prone_reversal
2025-03-31,2025-06-09,2025-06-10,2025-06-17,5,41,0.047560975609756105,0.0034774293406597545,-0.0005225706593402456,run_prone_reversal
2025-03-31,2025-06-09,2025-06-10,2025-07-11,21,41,0.201219512195122,0.014856062707191142,0.010856062707191142,run_prone_reversal
2025-03-31,2025-06-09,2025-06-10,2025-09-10,63,41,-0.2153310104529617,-0.011687514781104746,-0.015687514781104746,run_prone_reversal
2025-03-31,2025-06-09,2025-06-10,2025-12-09,126,41,-0.15435540069686415,-0.017807180664148423,-0.021807180664148423,run_prone_reversal
2025-06-30,2025-09-08,2025-09-09,2025-09-16,5,41,-0.20940766550522652,-0.007882780812714554,-0.011882780812714554,run_prone_reversal
2025-06-30,2025-09-08,2025-09-09,2025-10-08,21,41,-0.15522648083623697,-0.01365930742401937,-0.01765930742401937,run_prone_reversal
2025-06-30,2025-09-08,2025-09-09,2025-12-08,63,41,-0.10574912891986064,-0.0065185669128965396,-0.01051856691289654,run_prone_reversal
2025-06-30,2025-09-08,2025-09-09,2026-03-11,126,41,-0.06271777003484322,-0.0027888182495843794,-0.0067888182495843795,run_prone_reversal
2025-09-30,2025-12-09,2025-12-10,2025-12-17,5,41,-0.09790940766550525,-0.00947600347172585,-0.01347600347172585,run_prone_reversal
2025-09-30,2025-12-09,2025-12-10,2026-01-12,21,41,-0.12439024390243905,-0.005674889320658863,-0.009674889320658863,run_prone_reversal
2025-09-30,2025-12-09,2025-12-10,2026-03-13,63,41,-0.27648083623693387,-0.009221518437589532,-0.013221518437589532,run_prone_reversal
2025-09-30,2025-12-09,2025-12-10,2026-06-12,126,41,-0.012891986062717771,0.022644182185137557,0.018644182185137557,run_prone_reversal
2025-12-31,2026-03-11,2026-03-12,2026-03-19,5,41,-0.014982578397212546,0.0008766106670906049,-0.003123389332909395,run_prone_reversal
2025-12-31,2026-03-11,2026-03-12,2026-04-13,21,41,-0.055400696864111504,-0.014848555951665524,-0.018848555951665524,run_prone_reversal
2025-12-31,2026-03-11,2026-03-12,2026-06-11,63,41,-0.13658536585365855,-0.04244585389352118,-0.04644585389352118,run_prone_reversal
2026-03-31,2026-06-09,2026-06-10,2026-06-17,5,41,-0.279616724738676,-0.011565766429255275,-0.015565766429255275,run_prone_reversal
2026-03-31,2026-06-09,2026-06-10,2026-07-13,21,41,0.140418118466899,0.007244470418903748,0.003244470418903748,run_prone_reversal
