strategy,total_return,ann_return,ann_vol,sharpe,max_drawdown,hit_ratio,ann_turnover,fee_bps,sample
abnormal_adoption,-0.1524095943723509,-0.0754747115695159,0.0831380348087892,-0.9078240993199043,-0.20320459349873232,0.4925053533190578,30.541887278438367,10,full
ccp,-0.03828714494704566,-0.01835658137575913,0.0580614718117758,-0.31615769981284075,-0.1503990997556568,0.47924528301886793,4.829140717633706,10,full
fragility_stress,-0.18914303476476846,-0.09471129370346465,0.03287481189181767,-2.8809683844012404,-0.18914303476476846,0.168141592920354,27.141629180259276,10,full
fragility_reversal,-0.06067617742842668,-0.029269212355851892,0.08335102124536736,-0.3511560136700625,-0.14542745737909923,0.5113207547169811,26.722394380157894,10,full
sticky_raw,-0.16189421060242637,-0.08039896836918836,0.034288552584368796,-2.3447758015262514,-0.16570564117966202,0.4339622641509434,31.703981872241545,10,full
sticky_specificity,-0.13896812208637055,-0.06854544944606933,0.03497145550242826,-1.960039937179905,-0.14774528055784508,0.4358490566037736,29.485595212085528,10,full
double_down_all,0.23481647375164183,0.10528005317371569,0.10581048382786826,0.9949869744947442,-0.08861412203367602,0.5,13.042454757575456,10,full
abnormal_level,0.019202984755163133,0.00906774929005194,0.07312902597081,0.12399658233751672,-0.12665915842161435,0.5264150943396226,10.821564233238972,10,full
new_holder_breadth,-0.13751207403887367,-0.06779825893508495,0.04723703296286657,-1.435277676910439,-0.18849649890990905,0.469811320754717,31.680740333191437,10,full
consensus,-0.025597169091800764,-0.012230579927154483,0.06234726684197828,-0.1961686621829533,-0.12693995198384955,0.49433962264150944,5.555635625904787,10,full
fragility_unconditional,0.03822794525975981,0.017963334381379648,0.08958842804340462,0.20050953871717234,-0.1432585322731067,0.5433962264150943,14.208706790478095,10,full
sticky_quality,-0.26651856683843134,-0.13678918514025984,0.03545387497642472,-3.8582294666300556,-0.26969451708733283,0.39811320754716983,29.311535353435758,20,full
double_down_specific,0.1628525108246719,0.07422792269532485,0.11331254782081195,0.6550724003903434,-0.10403761863617156,0.49056603773584906,13.93142626796264,20,full
abnormal_adoption,-0.2549325287515385,-0.13034486461295924,0.08399681397064049,-1.551783436196983,-0.2718663538235101,0.4668094218415418,30.541887278438367,20,full
ccp,-0.057669473847543506,-0.02779583044176981,0.05811419160631704,-0.4782967752535749,-0.15917224907363492,0.47547169811320755,4.829140717633706,20,full
fragility_stress,-0.2770759068830483,-0.14270806434319327,0.03752844278561948,-3.80266415951257,-0.2770759068830483,0.1415929203539823,27.141629180259276,20,full
fragility_reversal,-0.16070653099175025,-0.07978074654395939,0.08338465520573708,-0.9567797138108244,-0.18128255985118713,0.48867924528301887,26.722394380157894,20,full
sticky_raw,-0.26686493123298816,-0.13698265837641976,0.036216569667942816,-3.7823200715132965,-0.2701989893598875,0.39433962264150946,31.703981872241545,20,full
sticky_specificity,-0.23971418702432357,-0.12195968952830194,0.03664877011452767,-3.3277976081373817,-0.24746436356862445,0.4018867924528302,29.485595212085528,20,full
double_down_all,0.168678017518199,0.07677851490760257,0.10626065236790908,0.7225488757754872,-0.10688626520122846,0.49056603773584906,13.042454757575456,20,full
abnormal_level,-0.026229916833248157,-0.012535038193975723,0.07309728565158713,-0.1714843182238403,-0.1400349673413872,0.5188679245283019,10.821564233238972,20,full
new_holder_breadth,-0.24544743797377855,-0.1251082161669077,0.04852295024805556,-2.5783307801223634,-0.2789309058267495,0.4358490566037736,31.680740333191437,20,full
consensus,-0.04814916272740166,-0.023146792837072994,0.06235917556297836,-0.371185036173167,-0.13829175900922497,0.48867924528301887,5.555635625904787,20,full
fragility_unconditional,-0.022105744064680244,-0.0105524811717711,0.08959319043693516,-0.11778217876055004,-0.15312192424170645,0.5320754716981132,14.208706790478095,20,full
