period,h,model,coverage,r2,r2_wins,ic,hit
2020-06-30,15,revealed_scaled,0.021267792527503982,-0.12978671528242391,-0.022506389581388397,0.03681738382003218,0.49280575539568344
2020-06-30,30,revealed,0.12333096848426844,0.021348841995743273,0.016735803866316568,0.09704996661687118,0.5555555555555556
2020-06-30,30,revealed_scaled,0.12333096848426844,-0.4837139040364924,-0.36273903603808555,0.09704996661687118,0.5555555555555556
2020-06-30,45,revealed,0.9775717575556049,0.49469807903167584,0.9306551735189263,0.9628595337135084,0.9651293588301463
2020-06-30,45,revealed_scaled,0.9775717575556049,0.4719520769191464,0.9284040988022902,0.9628595337135084,0.9651293588301463
2020-06-30,60,revealed,0.9935763865635707,0.9886988161287037,0.9850712550357751,0.9835171922973323,0.9848484848484849
2020-06-30,60,revealed_scaled,0.9935763865635707,0.9885680827970256,0.9849531435183215,0.9835171922973323,0.9848484848484849
2020-09-30,15,revealed,0.03393789369581365,0.025185638814041122,0.016097585545386428,0.07541901094523333,0.5317679558011049
2020-09-30,15,revealed_scaled,0.03393789369581365,-0.2147285533722838,-0.058084022315980866,0.07541901094523333,0.5317679558011049
2020-09-30,30,revealed,0.11075201571521284,0.05774708946151008,0.03736628282887067,0.15017630109207833,0.5745562130177515
2020-09-30,30,revealed_scaled,0.11075201571521284,-0.4885780345638526,-0.33030494414208755,0.15017630109207833,0.5745562130177515
2020-09-30,45,revealed,0.6158778848194201,-1.2079085211536182,-2.2074104952253,0.39677506694498177,0.5592939878654164
2020-09-30,45,revealed_scaled,0.6158778848194201,-4.472806466206267,-7.211533280071743,0.39677506694498177,0.5592939878654164
2020-09-30,60,revealed,0.7773746861350036,-0.971046617564614,-2.019889750348891,0.5093706489659835,0.5953947368421053
2020-09-30,60,revealed_scaled,0.7773746861350036,-2.299834016701532,-4.0249831639332,0.5093706489659835,0.5953947368421053
2020-12-31,15,revealed,0.02993534158803767,0.0037717196979203393,0.0022958236916773567,0.11005454007456637,0.5323383084577115
2020-12-31,15,revealed_scaled,0.02993534158803767,0.005833733885368009,0.006782310741586417,0.11005454007456637,0.5323383084577115
2020-12-31,30,revealed,0.09242543926812805,0.020103145675026024,-0.000226473424382867,0.07107674371479696,0.5049970605526161
2020-12-31,30,revealed_scaled,0.09242543926812805,-0.1146935291709863,-0.13765556530502376,0.07107674371479696,0.5049970605526161
2020-12-31,45,revealed,0.5831994854474348,0.16936687058046818,0.07683207232385403,0.337891295941115,0.5774798927613941
2020-12-31,45,revealed_scaled,0.5831994854474348,0.1403706038281779,-0.00621155995956868,0.337891295941115,0.5774798927613941
2020-12-31,60,revealed,0.7664083018879604,-0.05916056671162151,-0.5132345341316604,0.20483981788728817,0.4152452025586354
2020-12-31,60,revealed_scaled,0.7664083018879604,-0.3280898666311516,-0.8960755123182937,0.20483981788728817,0.4152452025586354
2021-03-31,15,revealed,0.024723844606780607,0.007064268170157595,6.184461231939498e-05,-0.00896646594916632,0.5110220440881763
2021-03-31,15,revealed_scaled,0.024723844606780607,-0.25082908320135355,-0.019247764183868865,-0.00896646594916632,0.5110220440881763
2021-03-31,30,revealed,0.12205251755622022,0.030588460122719874,0.02527797453632641,0.14504807583082244,0.5460055096418733
2021-03-31,30,revealed_scaled,0.12205251755622022,-0.6767780379521571,-0.2552196584191704,0.14504807583082244,0.5460055096418733
2021-03-31,45,revealed,0.6617934524053941,0.42484563434122746,0.40996435436048306,0.6339141302899653,0.7685992816829144
