period,panel,model,ndcg
2014-12-31,mega,ema,0.8724010761637281
2014-12-31,mega,persist,0.9956074131591288
2014-12-31,mega,ema,0.9956074131591288
2014-12-31,mega,persist,0.9995312785655427
2014-12-31,mega,ema,0.9995312785655427
2014-12-31,mega,persist,0.9550566868867645
2014-12-31,mega,ema,0.9638705488832614
2014-12-31,mega,persist,0.99683334488317
2014-12-31,mega,ema,0.996070287325775
2014-12-31,mega,persist,0.9027252619320408
2014-12-31,mega,ema,0.9969819547739331
2014-12-31,mega,persist,0.9810414128834875
2014-12-31,mega,ema,0.9913088150511788
2014-12-31,mega,persist,0.9810765059705918
2014-12-31,mega,ema,0.981070506100906
2014-12-31,mega,persist,0.9944734431554133
2014-12-31,mega,ema,0.9937045797264844
2014-12-31,mega,persist,0.783695266155254
2014-12-31,mega,ema,0.7814908799391453
2014-12-31,mega,persist,0.9779997854596733
2014-12-31,mega,ema,0.9801971196775726
2014-12-31,mega,persist,0.9974331263607461
2014-12-31,mega,ema,0.9974331263607461
2014-12-31,mega,persist,0.961926144395058
2014-12-31,mega,ema,0.9620002207393497
2014-12-31,mega,persist,0.9992347652698423
2014-12-31,mega,ema,0.999125618948053
2014-12-31,mega,persist,0.9993096124189144
2014-12-31,mega,ema,0.9989233538844212
2014-12-31,mega,persist,0.999698114843882
2014-12-31,mega,ema,0.9945055035296453
2014-12-31,mega,persist,0.8758073504353382
2014-12-31,mega,ema,0.8783838641451103
2014-12-31,mega,persist,0.9762758487704895
2014-12-31,mega,ema,0.9946593520791825
2014-12-31,mega,persist,0.9417592671970694
2014-12-31,mega,ema,0.9417592671970694
2014-12-31,mega,persist,0.9849732000467694
2014-12-31,mega,ema,0.982789180703721
2014-12-31,mega,persist,0.9474232303494116
2014-12-31,mega,ema,0.9476455332476572
2014-12-31,mega,persist,0.9771453906686042
2014-12-31,mega,ema,0.9960836632143647
2014-12-31,mega,persist,0.039661038047331794
2014-12-31,mega,ema,0.03961890177235002
2014-12-31,mega,persist,0.9973787252102604
2014-12-31,mega,ema,0.9995609179682945
2014-12-31,mega,persist,0.9787470490775451
2014-12-31,mega,ema,0.9966872093991412
2014-12-31,mega,persist,0.9991974748212212
2014-12-31,mega,ema,0.9988264816484946
2014-12-31,mega,persist,0.9979037261752399
2014-12-31,mega,ema,0.9980172233405857
2014-12-31,mega,persist,0.7881460461106982
2014-12-31,mega,ema,0.7792293561836261
2014-12-31,mega,persist,0.9991350954692946
2014-12-31,mega,ema,0.9989838107696132
2014-12-31,mega,persist,0.9092450041006603
2014-12-31,mega,ema,0.9102612773982626
2014-12-31,mega,persist,0.9502344064446469
2014-12-31,mega,ema,0.9812790912712056
2014-12-31,mega,persist,0.9768655155792034
2014-12-31,mega,ema,0.9786707698762692
2014-12-31,mega,persist,0.995494253727242
2014-12-31,mega,ema,0.995494253727242
2014-12-31,mega,persist,0.9637747591143205
2014-12-31,mega,ema,0.9530480745048374
2014-12-31,mega,persist,0.9451663260071624
2014-12-31,mega,ema,0.9415688004972486
2014-12-31,mega,persist,0.4377700363970022
2014-12-31,mega,ema,0.5635847221259743
2014-12-31,mega,persist,0.5817672601201634
2014-12-31,mega,ema,0.5565122546903126
2014-12-31,mega,persist,0.6528052418966851
2014-12-31,mega,ema,0.627844182413783
2014-12-31,mega,persist,0.9015757701470255
2014-12-31,mega,ema,0.9030491890851089
2014-12-31,mega,persist,0.8760570904510963
2014-12-31,mega,ema,0.8787031764803572
2014-12-31,mega,persist,0.9488102746451585
2014-12-31,mega,ema,0.9805101394043829
2014-12-31,mega,persist,0.9884487047591328
2014-12-31,mega,ema,0.9982099875178331
2014-12-31,mega,persist,0.9990420943501537
2014-12-31,mega,ema,0.9989986279078251
2014-12-31,mega,persist,0.9323244417074673
2014-12-31,mega,ema,0.8569885851349505
2014-12-31,mega,persist,0.9995987680209399
2014-12-31,mega,ema,0.9985219161098877
2014-12-31,mega,persist,0.9924932095975538
2014-12-31,mega,ema,0.9940912158706534
2014-12-31,mega,persist,0.6436987565702416
2014-12-31,mega,ema,0.6426374895106408
2014-12-31,mega,persist,0.9940898023793969
2014-12-31,mega,ema,0.9887073221579087
2014-12-31,mega,persist,0.9279043456674481
2014-12-31,mega,ema,0.8563213672727706
2014-12-31,mega,persist,0.7819832081389286
2014-12-31,mega,ema,0.8317771024977499
2014-12-31,mega,persist,0.8874552497931871
2014-12-31,mega,ema,0.968235947609561
2014-12-31,mega,persist,0.9943376319332236
2014-12-31,mega,ema,0.995452133284706
2014-12-31,mega,persist,0.5697320568604313
2014-12-31,mega,ema,0.5661570079843239
2014-12-31,mega,persist,0.9822480937395195
2014-12-31,mega,ema,0.9789717744044756
2014-12-31,mega,persist,0.9973937597808128
2014-12-31,mega,ema,0.9972790992336271
2014-12-31,mega,persist,0.9629182107862163
2014-12-31,mega,ema,0.96288466236364
2014-12-31,mega,persist,0.5358168552537615
2014-12-31,mega,ema,0.4805666557711349
2014-12-31,mega,persist,0.9536681175373607
2014-12-31,mega,ema,0.9560094300237709
2014-12-31,mega,persist,0.9995529232703209
2014-12-31,mega,ema,0.9972789096536803
2014-12-31,mega,persist,0.9973265915067677
2014-12-31,mega,ema,0.9973785882167681
2014-12-31,mega,persist,0.9971721987893905
2014-12-31,mega,ema,0.9971721987893905
2014-12-31,mega,persist,0.5747210209698428
2014-12-31,mega,ema,0.6162610290726661
2014-12-31,mega,persist,0.9892624969334818
2014-12-31,mega,ema,0.9799942519939138
2014-12-31,mega,persist,0.9861006184611174
2014-12-31,mega,ema,0.9752733924622913
2014-12-31,mega,persist,0.8719736874446015
2014-12-31,mega,ema,0.8184039673145168
2014-12-31,mega,persist,0.9072263704018545
2014-12-31,mega,ema,0.9066870620262713
2014-12-31,mega,persist,0.9496488551760883
2014-12-31,mega,ema,0.957253302635873
2014-12-31,mega,persist,0.993283052405422
2014-12-31,mega,ema,0.9555878263274886
2014-12-31,mega,persist,0.841345936468061
2014-12-31,mega,ema,0.841830298987675
2014-12-31,mega,persist,0.9743055027176308
2014-12-31,mega,ema,0.9662198519399278
2014-12-31,mega,persist,0.8152693184484375
2014-12-31,mega,ema,0.7922399517837618
2014-12-31,mega,persist,0.9977284685874183
2014-12-31,mega,ema,0.9977284685874183
2014-12-31,mega,persist,0.9787160371765046
2014-12-31,mega,ema,0.9747400434348383
2014-12-31,mega,persist,0.9932780568353217
2014-12-31,mega,ema,0.9928532504309373
2014-12-31,mega,persist,0.9895580836079682
2014-12-31,mega,ema,0.9739650720025959
2014-12-31,mega,persist,0.030414302233943587
2014-12-31,mega,ema,0.03892914932550936
2014-12-31,mega,persist,0.6661031008735138
2014-12-31,mega,ema,0.5307012635688226
2014-12-31,mega,persist,0.9970067085896817
2015-03-31,mega,persist,0.9933485668368923
2015-03-31,mega,ema,0.9850299212227431
2015-03-31,mega,persist,0.9921631408029055
2015-03-31,mega,ema,0.9875592619505562
2015-03-31,mega,persist,0.999565960720246
2015-03-31,mega,ema,0.9874153262877989
2015-03-31,mega,persist,0.9984909428751318
2015-03-31,mega,ema,0.9984909428751318
2015-03-31,mega,persist,0.9783699019789256
2015-03-31,mega,ema,0.9727929717321809
2015-03-31,mega,persist,0.9974134287326561
2015-03-31,mega,ema,0.9974134287326561
2015-03-31,mega,persist,0.8784548510270949
2015-03-31,mega,ema,0.8788553470811757
2015-03-31,mega,persist,0.993470267971414
2015-03-31,mega,ema,0.993470267971414
2015-03-31,mega,persist,1.0
2015-03-31,mega,ema,1.0
2015-03-31,mega,persist,0.9996502996701249
2015-03-31,mega,ema,0.9993508043590685
2015-03-31,mega,persist,0.9298841149076124
2015-03-31,mega,ema,0.9458905253449835
2015-03-31,mega,persist,0.9995260562177143
2015-03-31,mega,ema,0.9993695180940957
2015-03-31,mega,persist,0.996785032947784
2015-03-31,mega,ema,0.996785032947784
2015-03-31,mega,persist,0.9958675295080898
2015-03-31,mega,ema,0.9960164698965305
2015-03-31,mega,persist,0.999826203778036
2015-03-31,mega,ema,0.9932689388305853
2015-03-31,mega,persist,0.9909947674614369
2015-03-31,mega,ema,0.9862317257398856
2015-03-31,mega,persist,0.9728725821851916
2015-03-31,mega,ema,0.973048241202052
2015-03-31,mega,persist,0.9920777132324174
2015-03-31,mega,ema,0.9920777132324174
2015-03-31,mega,persist,0.8308075116724574
2015-03-31,mega,ema,0.9796297678195613
2015-03-31,mega,persist,0.9751342041798652
2015-03-31,mega,ema,0.9788018309597243
2015-03-31,mega,persist,0.9987413111284684
2015-03-31,mega,ema,0.9970671825196914
2015-03-31,mega,persist,0.9873086294763512
2015-03-31,mega,ema,0.9873086294763512
2015-03-31,mega,persist,0.9949925680382873
2015-03-31,mega,ema,0.9951506450177182
2015-03-31,mega,persist,0.995878494717572
2015-03-31,mega,ema,0.9957714920881657
2015-03-31,mega,persist,0.9482150479455195
2015-03-31,mega,ema,0.9482150479455195
2015-03-31,mega,persist,0.9209059677695953
2015-03-31,mega,ema,0.9349039126472029
2015-03-31,mega,persist,0.9215093979110929
2015-03-31,mega,ema,0.9214299069259604
2015-03-31,mega,persist,0.8980304278160925
2015-03-31,mega,ema,0.8741973005103902
2015-03-31,mega,persist,0.9942326960132083
2015-03-31,mega,ema,0.9884203858133567
2015-03-31,mega,persist,0.8156196246242976
2015-03-31,mega,ema,0.8227254928217569
2015-03-31,mega,persist,0.9815221827663727
2015-03-31,mega,ema,0.9815221827663727
2015-03-31,mega,persist,0.6010227480742225
2015-03-31,mega,ema,0.40557787756371017
2015-03-31,mega,persist,0.997833844294399
2015-03-31,mega,ema,0.997833844294399
2015-03-31,mega,persist,0.8798887130471427
2015-03-31,mega,ema,0.8786806971244522
2015-03-31,mega,persist,0.9962306605410395
2015-03-31,mega,ema,0.9962306605410395
2015-03-31,mega,persist,0.9957535525299458
2015-03-31,mega,ema,0.995700929463276
2015-03-31,mega,persist,0.9229081538088376
2015-03-31,mega,ema,0.8787868112171267
2015-03-31,mega,persist,0.9969159469881897
2015-03-31,mega,ema,0.998083720714729
2015-03-31,mega,persist,0.9501021707226519
2015-03-31,mega,ema,0.9542571757218101
2015-03-31,mega,persist,0.9988260235267353
2015-03-31,mega,ema,0.993924538624923
2015-03-31,mega,persist,0.9654533034929558
2015-03-31,mega,ema,0.9666506148433364
2015-03-31,mega,persist,0.9989826748346653
2015-03-31,mega,ema,0.9990368663186178
2015-03-31,mega,persist,0.8886893741116614
2015-03-31,mega,ema,0.8886893741116614
