period,exp,spread_uncond,spread_t0,spread_t1,spread_t2,delta,n
2015-12-31,pressure|vol,-0.05447628752953171,-0.0106193277188346,-0.015931750022567484,-0.05354254882404444,0.0009337387054872692,1322
2015-12-31,exit_rate|mom,0.08013458623263343,0.10003076350811915,0.06454884627705526,0.052689033772091054,0.01989617727548572,1265
2015-12-31,pressure|adv,-0.05447628752953171,-0.05961774974061751,-0.04147641077141681,-0.025460162159799876,-0.005141462211085801,1322
2015-12-31,pressure|mktcap,-0.05601671308025952,-0.09955647009977737,-0.025572869079028726,-0.03742996411733221,-0.04353975701951786,1280
2015-12-31,pressure|vol_resid,-0.05530300885836874,-0.02714838336006782,0.01995022699794538,-0.06732947049796376,-0.012026461639595018,1279
2015-12-31,pressure_o|vol,-0.030878313557469395,-0.010439920424743065,-0.011406440707781323,-0.017042963949688128,0.013835349607781267,1270
2015-12-31,pressure_o|vol_resid,-0.030822191452400588,-0.035452948081201766,0.032079001623370004,-0.02285458377210428,0.007967607680296307,1229
2016-03-31,new_conv|mktcap,-0.031562329032369385,-0.0596584947789881,-0.043284459830097224,-0.02594286841790397,-0.028096165746618718,1295
2016-03-31,dbreadth|io,-0.027202681397276107,-0.01981378273754486,-0.010389737465677118,-0.057963148942592524,0.007388898659731247,1298
2016-03-31,distress|adv,-0.029036028679333983,-0.017606598510748042,-0.08226210507540044,-0.051807483007718785,0.011429430168585941,1338
2016-03-31,pressure|vol,0.004707776317340456,-0.005963488879650175,0.02109955557384849,-0.022664416798448023,-0.02737219311578848,1338
2016-03-31,exit_rate|mom,0.08358726547791785,0.04655977049282868,0.07826205299644028,0.06952811091192666,-0.03702749498508917,1287
2016-03-31,pressure|adv,0.004707776317340456,0.022596292312062644,-0.008770504740307175,0.0007563018015699363,0.017888515994722187,1338
2016-03-31,pressure|mktcap,0.004060410093927866,0.011809321337945128,0.008292063318336346,-0.02591350843184667,0.007748911244017262,1296
2016-03-31,pressure|vol_resid,0.004392847128424346,0.015973597413248747,0.015804441340664277,0.054149370811152286,0.04975652368272794,1295
2016-03-31,pressure_o|vol,-0.0020665460188857704,-0.003650474605869286,0.0207294931182313,0.0010449428953585305,0.003111488914244301,1288
2016-03-31,pressure_o|vol_resid,-0.0009313945401906998,0.017441151149644785,0.017380769491563863,0.04844510938043958,0.04937650392063028,1247
2016-06-30,new_conv|mktcap,-0.008476213753552737,-0.02238224813578657,-0.028471749437550688,-0.010079284742058077,-0.013906034382233833,1318
2016-06-30,dbreadth|io,-0.054117410112962186,0.031321597763375314,-0.0404431875385976,-0.11069957523932947,0.0854390078763375,1324
2016-06-30,distress|adv,-0.06666758728848211,-0.0197759509932885,0.017447535975080718,-0.016108034347487782,0.04689163629519361,1361
2016-06-30,pressure|vol,0.03354237778536957,0.038871167415912504,0.06761639734715248,0.07061634161263018,0.03707396382726061,1361
2016-06-30,exit_rate|mom,0.0453118421265135,0.0030100315646720555,0.018437821359768923,0.07454872157259713,-0.042301810561841444,1319
