APROVAR,sugestao,motivo,predecessor_name,successor_name,name_similarity,gap_quarters,clean_handoff,predecessor_last_q,successor_first_q,predecessor_cik,successor_cik
S,S,nucleo contido no outro (adicao de Group/Holding/local),"Norwest Venture Partners XI, LP","NORWEST VENTURE PARTNERS XII, LP",0.6,1,True,2019Q4,2020Q1,1534522,1614660
S,S,nucleo contido no outro (adicao de Group/Holding/local),Impax Asset Management (AIFM) Ltd,Impax Asset Management Group plc,0.6,1,True,2018Q2,2018Q3,1634155,1749768
S,S,nucleo contido no outro (adicao de Group/Holding/local),Greenwoods Asset Management Ltd,Greenwoods Asset Management Hong Kong Ltd.,0.6,1,True,2020Q4,2021Q1,1577133,1848138
S,S,nucleo contido no outro (adicao de Group/Holding/local),Banco BTG Pactual SA,Banco BTG Pactual S.A.,0.6,1,True,2015Q4,2016Q1,1667109,1536080
S,S,nucleo contido no outro (adicao de Group/Holding/local),"DAI-ICHI LIFE HOLDINGS, INC.","Dai-Ichi Life Insurance Company, Ltd",0.6,1,True,2016Q3,2016Q4,948518,1697728
S,S,nucleo contido no outro (adicao de Group/Holding/local),"Institutional Venture Management XV, LLC"," INSTITUTIONAL VENTURE MANAGEMENT XVI, LLC ",0.6,1,True,2024Q4,2025Q1,1640275,1716997
S,S,nucleo contido no outro (adicao de Group/Holding/local),Ostrum Asset Management,"OSTRUM ASSET MANAGEMENT U.S., LLC",0.6,1,True,2018Q3,2018Q4,1166767,1696259
S,S,nucleo contido no outro (adicao de Group/Holding/local),Broad Peak Investment Holdings Ltd.,Broad Peak Investment Advisers Pte Ltd,0.6,1,True,2024Q1,2024Q2,1728120,1547349
S,S,nucleo contido no outro (adicao de Group/Holding/local),"Institutional Venture Management XVI, LLC"," INSTITUTIONAL VENTURE MANAGEMENT XV, LLC",0.6,1,True,2024Q4,2025Q1,1716997,1640275
S,S,nucleo contido no outro (adicao de Group/Holding/local),"NORWEST VENTURE PARTNERS XI, LP","NORWEST VENTURE PARTNERS XIV, LP",0.6,1,True,2020Q3,2020Q4,1534522,1842721
S,S,nucleo contido no outro (adicao de Group/Holding/local),"NORWEST VENTURE PARTNERS XII, LP","Norwest Venture Partners XIII, LP",0.6,1,True,2022Q1,2022Q2,1614660,1772583
S,S,nucleo contido no outro (adicao de Group/Holding/local),"KOKUSAI Asset Management Co., Ltd.","MITSUBISHI UFJ KOKUSAI ASSET MANAGEMENT CO., LTD.",0.6,2,False,2015Q2,2015Q4,1466067,1466546
S,S,nucleo contido no outro (adicao de Group/Holding/local),ALLIANZ INVESTMENT MANAGEMENT LLC,Allianz Investment Management U.S. LLC,0.6,2,False,2020Q3,2021Q1,1140038,1860935
